Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,SHS,NCP,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party
1,Shevgaon,GEN,Ahmadnagar,112509,,,98215,,,,,,,,,,,,,,,,,
2,Rahuri,GEN,Ahmadnagar,85908,,,109234,,,,,,,,,,,,,,,,,NCP
3,Parner,GEN,Ahmadnagar,,,80125,139963,,,,,,,,,,,,,,,,,NCP
4,Ahmednagar_City,GEN,Ahmadnagar,,,70078,81217,,,,,,,,,,,,,,,,,
5,Shrigonda,GEN,Ahmadnagar,103258,,,98508,,,,,,,,,,,,,,,,,
6,Karjat_Jamkhed,GEN,Ahmadnagar,92477,,,135824,,,,,,,,,,,,,,,,,NCP
7,Akot,GEN,Akola,48586,,,,,,41326,,,,,,,,,,,,,,
8,Balapur,GEN,Akola,,,69343,,44507,,50555,,,,,,,,,,,,,,
9,Akola_West,GEN,Akola,73262,70669,,,,,,,,,,,,,,,,,,,
10,Akola_East,GEN,Akola,100475,,,,,,75752,,,,,,,,,,,,,,BJP
11,Murtizapur,SC,Akola,59527,,,41155,,,57617,,,,,,,,,,,,,,
12,Risod,GEN,Akola,,69875,,,,,34475,,,,,,,,,,,,,67734,
13,Badnera,GEN,Amravati,,,74919,,,,,,,,,,,,,,,,,90460,
14,Amravati,GEN,Amravati,64313,82581,,,,,,,,,,,,,,,,,,,
15,Teosa,GEN,Amravati,,76218,65857,,,,,,,,,,,,,,,,,,
16,Daryapur,SC,Amravati,65370,95889,,,,,,,,,,,,,,,,,,,INC
17,Melghat,ST,Amravati,43207,,,,,,,,84569,,,,,,,,,,,,
18,Achalpur,GEN,Amravati,,72856,,,,,,,81252,,,,,,,,,,,,
19,Kannad,GEN,Aurangabad,,,79225,,,,,,,,,,,,,,,,,60535,
20,Phulambri,GEN,Aurangabad,106190,90916,,,,,,,,,,,,,,,,,,,
21,Aurangabad_Central,GEN,Aurangabad,,,82217,,68325,,,,,,,,,,,,,,,,
22,Aurangabad_West,SC,Aurangabad,,,83792,,,,,,,,,,,,,,,,,43347,
23,Aurangabad_East,GEN,Aurangabad,93966,,,,80036,,,,,,,,,,,,,,,,
24,Gangapur,GEN,Aurangabad,107193,,,72222,,,,,,,,,,,,,,,,,
25,Vaijapur,GEN,Aurangabad,,,98183,,,,,,,,,,,,,,,,,,SHS
26,Daund,GEN,Baramati,103664,,,102918,,,,,,,,,,,,,,,,,
27,Indapur,GEN,Baramati,111850,,,114960,,,,,,,,,,,,,,,,,
28,Baramati,GEN,Baramati,,,,195641,,,,,,,,,,,,,,,,,NCP
29,Purandar,GEN,Baramati,,130710,99306,,,,,,,,,,,,,,,,,,INC
30,Bhor,GEN,Baramati,,108925,99719,,,,,,,,,,,,,,,,,,
31,Khadakwasala,GEN,Baramati,120518,,,117923,,,,,,,,,,,,,,,,,
32,Georai,GEN,Beed,99625,,,92833,,,,,,,,,,,,,,,,,
33,Majalgaon,GEN,Beed,98676,,,111566,,,,,,,,,,,,,,,,,
34,Beed,GEN,Beed,,,97950,99934,,,,,,,,,,,,,,,,,
35,Ashti,GEN,Beed,100931,,,126756,,,,,,,,,,,,,,,,,NCP
36,Kaij,SC,Beed,123433,,,90524,,,,,,,,,,,,,,,,,BJP
37,Parli,GEN,Beed,91413,,,122114,,,,,,,,,,,,,,,,,NCP
38,Tumsar,GEN,Bhandara-Gondiya,,,,87190,,,,,,,,,,,,,,,,79490,
39,Bhandara,SC,Bhandara-Gondiya,78040,,,,,,,,,,,,,,,,,,,101717,
40,Sakoli,GEN,Bhandara-Gondiya,88968,95208,,,,,,,,,,,,,,,,,,,
41,Arjuni-Morgaon,SC,Bhandara-Gondiya,71682,,,72400,,,,,,,,,,,,,,,,,
42,Tirora,GEN,Bhandara-Gondiya,76482,,,50519,,,,,,,,,,,,,,,,,
43,Gondiya,GEN,Bhandara-Gondiya,75827,,,,,,,,,,,,,,,,,,,102996,
44,Bhiwandi_Rural,ST,Bhiwandi,,,83567,,,,,,,,,,,,,,,,,,
45,Shahapur,ST,Bhiwandi,,,60949,76053,,,,,,,,,,,,,,,,,
46,Bhiwandi_West,GEN,Bhiwandi,58857,,,,,,,,,,,,,,,,,,,43945,
47,Bhiwandi_East,GEN,Bhiwandi,,,44223,,,,,,,,,,,,,45537,,,,,
48,Kalyan_West,GEN,Bhiwandi,,,65486,,,,,,,,,,,,,,,,,43209,
49,Murbad,GEN,Bhiwandi,174068,,,,,,,,,,,,,,,,,,,,BJP
50,Buldhana,GEN,Buldhana,,31316,67785,,,,41710,,,,,,,,,,,,,,
51,Chikhali,GEN,Buldhana,93515,86705,,,,,,,,,,,,,,,,,,,
52,Sindkhed_Raja,GEN,Buldhana,,,72763,81701,,,,,,,,,,,,,,,,,
53,Mehkar,SC,Buldhana,,49836,112038,,,,,,,,,,,,,,,,,,SHS
54,Khamgaon,GEN,Buldhana,90757,73789,,,,,,,,,,,,,,,,,,,
55,Jalgaon_(Jamod),GEN,Buldhana,102735,67504,,,,,,,,,,,,,,,,,,,
56,Rajura,GEN,Chandrapur,51051,60228,,,,,,,,,57727,,,,,,,,,,
57,Chandrapur,SC,Chandrapur,,,,,,,,,,,,,,,,,,,,117570,
58,Ballarpur,GEN,Chandrapur,86002,52762,,,,,,,,,,,,,,,,,,,
59,Warora,GEN,Chandrapur,,63862,53665,,,,,,,,,,,,,,,,,,
60,Wani,GEN,Chandrapur,67710,,,,,,,,,,,,,,,,,,,,
61,Arni,ST,Chandrapur,81599,78446,,,,,,,,,,,,,,,,,,,
62,Dhule_Rural,GEN,Dhule,111011,125575,,,,,,,,,,,,,,,,,,,BJP
63,Dhule_City,GEN,Dhule,,,,,46679,42432,,,,,,,,,,,,,,43372,
64,Sindkheda,GEN,Dhule,113809,,,70894,,,,,,,,,,,,,,,,,BJP
65,Malegaon_Central,GEN,Dhule,,78723,,,117242,,,,,,,,,,,,,,,,
66,Malegaon_Outer,GEN,Dhule,,73568,121252,,,,,,,,,,,,,,,,,,SHS
67,Baglan,ST,Dhule,94683,,,60989,,,,,,,,,,,,,,,,,BJP
68,Nandgaon,GEN,Dindori,,,85275,71386,,,,,,,,,,,,,,,,,
69,Kalwan,ST,Dindori,,,,86877,,,,,,,,,,80281,,,,,,,
70,Chandwad,GEN,Dindori,101156,74619,,,,,,,,,,,,,,,,,,,BJP
71,Yevla,GEN,Dindori,,,69712,126237,,,,,,,,,,,,,,,,,NCP
72,Niphad,GEN,Dindori,,,78686,96354,,,,,,,,,,,,,,,,,
73,Dindori,ST,Dindori,,,63707,124520,,,,,,,,,,,,,,,,,NCP
74,Amgaon,ST,Gadchiroli-Chimur,80845,88265,,,,,,,,,,,,,,,,,,,
75,Armori,ST,Gadchiroli-Chimur,75077,53410,,,,,,,,,,,,,,,,,,,
76,Gadchiroli,ST,Gadchiroli-Chimur,97913,62572,,,,,,,,,,,,,,,,,,,BJP
77,Aheri,ST,Gadchiroli-Chimur,44555,43022,,60013,,,,,,,,,,,,,,,,,
78,Bramhapuri,GEN,Gadchiroli-Chimur,,96726,78177,,,,,,,,,,,,,,,,,,INC
79,Chimur,GEN,Gadchiroli-Chimur,87146,77394,,,,,,,,,,,,,,,,,,,
80,Shahuwadi,GEN,Hatkanangle,,,97005,,,,,,,,,,,,,,,,124868,,JSS
81,Hatkanangle,SC,Hatkanangle,,73720,66950,,,,,,,,,,,,,,,,,,
82,Ichalkaranji,GEN,Hatkanangle,67076,,,,,,,,,,,,,,,,,,,116886,
83,Shirol,GEN,Hatkanangle,,,,,,,,,,,,,,,,,,,,90038,
84,Islampur,GEN,Hatkanangle,,,,115563,,,,,,,,,,,,,,,,,NCP
85,Shirala,GEN,Hatkanangle,76002,,,101933,,,,,,,,,,,,,,,,,
86,Umarkhed,SC,Hingoli,87337,78050,,,,,,,,,,,,,,,,,,,
87,Kinwat,GEN,Hingoli,89628,,,76356,,,,,,,,,,,,,,,,,
88,Hadgaon,GEN,Hingoli,,74325,,,,,,,,,,,,,,,,,,60962,
89,Basmath,GEN,Hingoli,,,,75321,,,,,,,,,,,,,,,,67070,
90,Kalamnuri,GEN,Hingoli,,57544,82515,,,,66137,,,,,,,,,,,,,,
91,Hingoli,GEN,Hingoli,95318,71253,,,,,,,,,,,,,,,,,,,
92,Jalgaon_City,GEN,Jalgaon,113310,,,,,,,,,,,,,,,,,,,,BJP
93,Jalgaon_Rural,GEN,Jalgaon,,,105795,,,,,,,,,,,,,,,,,59066,SHS
94,Amalner,GEN,Jalgaon,85163,,,93757,,,,,,,,,,,,,,,,,NCP
95,Erandol,GEN,Jalgaon,,,82650,64648,,,,,,,,,,,,,,,,,
96,Chalisgaon,GEN,Jalgaon,86515,,,82228,,,,,,,,,,,,,,,,,
97,Pachora,GEN,Jalgaon,,,75699,,,,,,,,,,,,,,,,,73615,
98,Jalna,GEN,Jalna,,91294,66049,,,,,,,,,,,,,,,,,,
99,Badnapur,SC,Jalna,105312,,,86700,,,,,,,,,,,,,,,,,BJP
100,Bhokardan,GEN,Jalna,118539,,,86049,,,,,,,,,,,,,,,,,BJP
101,Sillod,GEN,Jalna,,,123383,,,,,,,,,,,,,,,,,99002,SHS
102,Paithan,GEN,Jalna,,,83403,69264,,,,,,,,,,,,,,,,,
103,Ambernath,SC,Kalyan,,,60083,,,,,,,,,,,,,,,,,,
104,Ulhasnagar,GEN,Kalyan,43666,,,41662,,,,,,,,,,,,,,,,,
105,Kalyan_East,GEN,Kalyan,60332,,,,,,,,,,,,,,,,,,,48075,
106,Dombivali,GEN,Kalyan,86227,,,,,,,,,,,,,,,,44916,,,,
107,Kalyan_Rural,GEN,Kalyan,,,86773,,,,,,,,,,,,,,93927,,,,
108,Mumbra-Kalwa,GEN,Kalyan,,,,109283,,,,,,,,,,,,,,,,,NCP
109,Chandgad,GEN,Kolhapur,,,,55558,,,43973,,,,,,,,,,,,,51173,
110,Radhanagari,GEN,Kolhapur,,,105881,87451,,,,,,,,,,,,,,,,,
111,Kagal,GEN,Kolhapur,,,,116436,,,,,,,,,,,,,,,,88303,
112,Kolhapur_South,GEN,Kolhapur,97394,140103,,,,,,,,,,,,,,,,,,,INC
113,Karvir,GEN,Kolhapur,,135675,113014,,,,,,,,,,,,,,,,,,INC
114,Kolhapur_North,GEN,Kolhapur,78025,97332,,,,,,,,,,,,,,,,,,,INC
115,Loha,GEN,Latur,,,,,,,,,,,,101668,,,,,,,,,PWPI
116,Latur_Rural,GEN,Latur,,135006,,,,,,,,,,,,,,,,,,,INC
117,Latur_City,GEN,Latur,70741,111156,,,,,,,,,,,,,,,,,,,INC
118,Ahmedpur,GEN,Latur,55445,,,84636,,,,,,,,,,,,,,,,,
119,Udgir,SC,Latur,75787,,,96366,,,,,,,,,,,,,,,,,NCP
120,Nilanga,GEN,Latur,97324,65193,,,,,,,,,,,,,,,,,,,
121,Karmala,GEN,Madha,,,,,,,,,,,,,,,,,,,,78822,
122,Madha,GEN,Madha,,,74328,142573,,,,,,,,,,,,,,,,,NCP
123,Sangola,GEN,Madha,,,99464,,,,,,,,,98696,,,,,,,,,
124,Malshiras,SC,Madha,103507,,,100917,,,,,,,,,,,,,,,,,
125,Phaltan,SC,Madha,86636,,,117617,,,,,,,,,,,,,,,,,NCP
126,Panvel,GEN,Maval,197109,,,,,,,,,,,86379,,,,,,,,,BJP
127,Karjat,GEN,Maval,,,102208,84162,,,,,,,,,,,,,,,,,SHS
128,Uran,GEN,Maval,,,68839,,,,,,,,,,,,,,,,,74549,
129,Maval,GEN,Maval,73770,,,167712,,,,,,,,,,,,,,,,,NCP
130,Chinchwad,GEN,Maval,135603,,,99435,,,,,,,,,,,,,,,,,
131,Pimpri,SC,Maval,,,67177,86985,,,,,,,,,,,,,,,,,
132,Borivali,GEN,Mumbai_North,123712,,,,,,,,,,,,,,,,,,,,BJP
133,Dahisar,GEN,Mumbai_North,87607,,,,,,,,,,,,,,,,,,,,BJP
134,Magathane,GEN,Mumbai_North,,,90206,,,,,,,,,,,,,,41060,,,,SHS
135,Kandivali_East,GEN,Mumbai_North,85152,,,,,,,,,,,,,,,,,,,,BJP
136,Charkop,GEN,Mumbai_North,108202,,,,,,,,,,,,,,,,,,,,BJP
137,Malad_West,GEN,Mumbai_North,,79514,,,,,,,,,,,,,,,,,,,INC
138,Vile_Parle,GEN,Mumbai_North_Central,84991,,,,,,,,,,,,,,,,,,,,BJP
139,Chandivali,GEN,Mumbai_North_Central,,85470,85879,,,,,,,,,,,,,,,,,,
140,Kurla,SC,Mumbai_North_Central,,,55049,34036,,,,,,,,,,,,,,,,,
141,Kalina,GEN,Mumbai_North_Central,,38388,43319,,,,,,,,,,,,,,,,,,
142,Vandre_East,GEN,Mumbai_North_Central,,38337,32547,,,,,,,,,,,,,,,,,,
143,Vandre_West,GEN,Mumbai_North_Central,74816,48309,,,,,,,,,,,,,,,,,,,BJP
144,Mulund,GEN,Mumbai_North_East,87253,,,,,,,,,,,,,,,,,,,,BJP
145,Vikhroli,GEN,Mumbai_North_East,,,62794,,,,,,,,,,,,,,,,,,
146,Bhandup_West,GEN,Mumbai_North_East,,,71955,,,,,,,,,,,,,,42782,,,,
147,Ghatkopar_West,GEN,Mumbai_North_East,70263,,,,,,,,,,,,,,,,,,,41474,
148,Ghatkopar_East,GEN,Mumbai_North_East,73054,,,,,,,,,,,,,,,,,,,,BJP
149,Mankhurd_Shivaji_Nagar,GEN,Mumbai_North_East,,,43481,,,,,,,,,,,,,69082,,,,,
150,Jogeshwari_East,GEN,Mumbai_North_West,,,90654,,,,,,,,,,,,,,,,,,SHS
151,Dindoshi,GEN,Mumbai_North_West,,,82203,,,,,,,,,,,,,,,,,,SHS
152,Goregaon,GEN,Mumbai_North_West,81233,,,,,,,,,,,,,,,,,,,,BJP
153,Versova,GEN,Mumbai_North_West,41057,35871,,,,,,,,,,,,,,,,,,32706,
154,Andheri_West,GEN,Mumbai_North_West,65615,45653,,,,,,,,,,,,,,,,,,,
155,Andheri_East,GEN,Mumbai_North_West,,,62773,,,,,,,,,,,,,,,,,45808,
156,Worli,GEN,Mumbai_South,,,89248,,,,,,,,,,,,,,,,,,SHS
157,Shivadi,GEN,Mumbai_South,,,77687,,,,,,,,,,,,,,,,,,SHS
158,Byculla,GEN,Mumbai_South,,,51180,,31157,,,,,,,,,,,,,,,,
159,Malabar_Hill,GEN,Mumbai_South,93538,,,,,,,,,,,,,,,,,,,,BJP
160,Mumbadevi,GEN,Mumbai_South,,58952,35297,,,,,,,,,,,,,,,,,,INC
161,Colaba,GEN,Mumbai_South,57350,41191,,,,,,,,,,,,,,,,,,,BJP
162,Anushakti_Nagar,GEN,Mumbai_South_Central,,,52466,65217,,,,,,,,,,,,,,,,,
163,Chembur,GEN,Mumbai_South_Central,,34246,53264,,,,,,,,,,,,,,,,,,
164,Dharavi,SC,Mumbai_South_Central,,53954,42130,,,,,,,,,,,,,,,,,,
165,Sion_Koliwada,GEN,Mumbai_South_Central,54845,40894,,,,,,,,,,,,,,,,,,,
166,Wadala,GEN,Mumbai_South_Central,56485,,,,,,,,,,,,,,,,,,,,BJP
167,Mahim,GEN,Mumbai_South_Central,,,61337,,,,,,,,,,,,,,42690,,,,
168,Nagpur_South_West,GEN,Nagpur,109237,59893,,,,,,,,,,,,,,,,,,,BJP
169,Nagpur_South,GEN,Nagpur,84339,80326,,,,,,,,,,,,,,,,,,,
170,Nagpur_East,GEN,Nagpur,103992,79975,,,,,,,,,,,,,,,,,,,BJP
171,Nagpur_Central,GEN,Nagpur,75692,71684,,,,,,,,,,,,,,,,,,,
172,Nagpur_West,GEN,Nagpur,76885,83252,,,,,,,,,,,,,,,,,,,
173,Nagpur_North,SC,Nagpur,66127,86821,,,,,,,,,,,,,,,,,,,
174,Bhokar,GEN,Nanded,,140559,,,,,,,,,,,,,,,,,,,INC
175,Nanded_North,GEN,Nanded,,50778,62884,,,,,,,,,,,,,,,,,,
